time,x1,y1,x2,y2,theta1,theta2,L1,L2,normalized_overlap,energy,total_angular_momentum
0.44,-2.472324904627718,-0.45013951393623414,2.472324904627718,0.45013951393623414,0.2497176687429689,-0.30100537448351805,-0.000991834376195441,-0.002841294936943934,0.0004238011647173412,1.4402324902779922,1.0799999999999998
0.448,-2.4627468987050785,-0.450149359169221,2.4627468987050785,0.450149359169221,0.2496972031343003,-0.3010721486304309,-0.0010553251955358366,-0.0030027617788544497,0.00044760419639341986,1.4402324902779922,1.0799999999999998
0.456,-2.4531701735501716,-0.4501598133940174,2.4531701735501716,0.4501598133940174,0.2496754311539948,-0.3011427052243767,-0.0011225034870120895,-0.003172318125055205,0.0004726339887102687,1.4402324902779924,1.0799999999999998
0.464,-2.4435947955369857,-0.4501709108284985,2.4435947955369857,0.4501709108284985,0.24965227710549107,-0.30121723326967614,-0.0011935654893734699,-0.0033503250735595147,0.0004989467268229453,1.4402324902779926,1.0799999999999996
0.47200000000000003,-2.43402083412882,-0.4501826874594594,2.43402083412882,0.4501826874594594,0.2496276612745934,-0.301295930178502,-0.0012687167900133694,-0.003537157273357295,0.0005266007201513564,1.4402324902779922,1.0799999999999998
0.48,-2.424448362000999,-0.45019518112446916,2.424448362000999,0.45019518112446916,0.2496014997386968,-0.3013790020847313,-0.0013481727071706377,-0.003733203284731357,0.0005556564529497929,1.4402324902779922,1.0799999999999998
0.488,-2.4148774551671934,-0.45020843159692675,2.4148774551671934,0.45020843159692675,0.24957370416824687,-0.30146666416604156,-0.0014321586843008658,-0.003938865940049589,0.0005861766338467513,1.4402324902779924,1.0799999999999996
0.496,-2.4053081931093807,-0.45022248067440584,2.4053081931093807,0.45022248067440584,0.2495441816201888,-0.3015591409742512,-0.0015209106968195954,-0.004154562704300004,0.0006182262441210879,1.4402324902779922,1.0799999999999996
0.504,-2.3957406589114667,-0.4502373722703782,2.3957406589114667,0.4502373722703782,0.2495128343231562,-0.3016566667738904,-0.001614675671411616,-0.004380726034577579,0.0006518725844623487,1.4402324902779924,1.0799999999999996
0.512,-2.386174939396578,-0.45025315250940456,2.386174939396578,0.45025315250940456,0.24947955945414657,-0.30175948588896956,-0.00171371191809144,-0.004617803737670588,0.0006871853199443918,1.4402324902779922,1.0799999999999998
0.52,-2.376611125268034,-0.45026986982588063,2.376611125268034,0.45026986982588063,0.24944424890642639,-0.3018678530578896,-0.001818289575190163,-0.004866259324830269,0.0007242365229215522,1.4402324902779924,1.0799999999999996
0.528,-2.367049311254003,-0.45028757506642664,2.367049311254003,0.45028757506642664,0.24940678904840605,-0.3019820337964209,-0.0019286910674325797,-0.005126572362740683,0.0007631007135360575,1.4402324902779924,1.0799999999999996
0.536,-2.3574895962558213,-0.45030632159600636,2.3574895962558213,0.45030632159600636,0.24936706047322094,-0.3021023047686503,-0.0020452115772560584,-0.005399238819635666,0.0008038548975040874,1.4402324902779922,1.0799999999999998
0.544,-2.3479320834999693,-0.45032616540786147,2.3479320834999693,0.45032616540786147,0.24932493773875272,-0.3022289541657735,-0.0021681595295088454,-0.005684771405436705,0.0008465786008254858,1.4402324902779924,1.0799999999999998
0.552,-2.3383768806936724,-0.4503471652373453,2.3383768806936724,0.4503471652373453,0.24928028909782152,-0.30236228209258237,-0.0022978570896501705,-0.005983699904709365,0.0008913539010392611,1.4402324902779922,1.0799999999999998
0.56,-2.328824100184087,-0.45036938267973725,2.328824100184087,0.45036938267973725,0.24923297621827856,-0.3025026009614682,-0.002434640675557706,-0.006296571501156392,0.0009382654546231863,1.4402324902779926,1.0799999999999998
0.5680000000000001,-2.3192738591210214,-0.45039288231211855,2.3192738591210214,0.45039288231211855,0.24918285389272557,-0.3026502358937328,-0.002578861483029366,-0.0066239510922829845,0.0009874005201112627,1.4402324902779926,1.08
0.5760000000000001,-2.3097262796231375,-0.4504177318193854,2.3097262796231375,0.4504177318193854,0.24912976973758677,-0.3028055251279654,-0.00273088602504601,-0.00696642159278371,0.0010388489764776355,1.4402324902779926,1.08
0.584,-2.3001814889475547,-0.4504440021244741,2.3001814889475547,0.4504440021244741,0.24907356388125754,-0.3029688204352109,-0.0028910966848392948,-0.007324584225111196,0.001092703336309775,1.4402324902779924,1.0799999999999996
0.592,-2.290639619662766,-0.45047176752286855,2.290639619662766,0.45047176752286855,0.24901406864105358,-0.30314048754061773,-0.0030598922827843435,-0.0076990587955941565,0.0011490587532673052,1.4402324902779926,1.08
0.6,-2.2811008098247756,-0.45050110582145564,2.2811008098247756,0.45050110582145564,0.2489511081886838,-0.3033209065512154,-0.003237688657110018,-0.008090483954376091,0.001208013023295939,1.4402324902779926,1.0799999999999998
0.608,-2.271565203156332,-0.4505320984817921,2.271565203156332,0.4505320984817921,0.24888449820397146,-0.3035104723894312,-0.0034249192583902534,-0.008499517437346907,0.001269666579038895,1.4402324902779922,1.0799999999999998
0.616,-2.262032949229131,-0.45056483076783743,2.262032949229131,0.45056483076783743,0.24881404551654782,-0.3037095952319129,-0.0036220357577478094,-0.008926836288136711,0.0013341224768604488,1.4402324902779926,1.0799999999999998
0.624,-2.252504203648836,-0.45059939189820597,2.252504203648836,0.45059939189820597,0.2487395477352458,-0.30391870095317824,-0.003829508668666652,-0.00937313705813519,0.001401486375868683,1.4402324902779922,1.08
0.632,-2.242979128242755,-0.45063587520298165,2.242979128242755,0.45063587520298165,0.24866079286492207,-0.30413823157356507,-0.00404782798227114,-0.009839135982390777,0.0014718665082967379,1.4402324902779924,1.0799999999999998
0.64,-2.2334578912499836,-0.45067437828513385,2.2334578912499836,0.45067437828513385,0.2485775589104407,-0.30436864571090455,-0.004277503815888005,-0.010325569129130956,0.0015453736405742781,1.4402324902779924,1.0800000000000003
0.648,-2.223940667513813,-0.45071500318656493,2.223940667513813,0.45071500318656493,0.24848961346755452,-0.30461041903528846,-0.004519067074662369,-0.010833192520530244,0.001622121024393614,1.4402324902779926,1.0799999999999998
0.656,-2.214427638676184,-0.4507578565588111,2.214427638676184,0.4507578565588111,0.24839671330042581,-0.3048640447262445,-0.004773070125948695,-0.011362782222233008,0.0017022243370480522,1.4402324902779922,1.0799999999999996
0.664,-2.204918993373931,-0.4508030498384097,2.204918993373931,0.4508030498384097,0.24829860390553418,-0.30513003393157584,-0.005040087486144403,-0.01191513439901786,0.001785801610294152,1.4402324902779922,1.0799999999999996
0.672,-2.195414927436556,-0.4508506994269358,2.195414927436556,0.4508506994269358,0.24819501906172672,-0.3054089162270603,-0.005320716519574339,-0.012491065333865087,0.0018729731469641926,1.4402324902779922,1.08
0.68,-2.1859156440852443,-0.4509009268757011,2.1859156440852443,0.4509009268757011,0.24808568036617337,-0.30570124007613986,-0.005615578148971645,-0.013091411407564226,0.0019638614245314676,1.440232490277992,1.0799999999999996
0.6880000000000001,-2.1764213541327972,-0.450953859075095,2.1764213541327972,0.450953859075095,0.2479702967560014,-0.3060075732886647,-0.005925317577029795,-0.013717029035867655,0.002058590984808473,1.440232490277992,1.0799999999999998
0.6960000000000001,-2.1669322761841574,-0.45100962844853637,2.1669322761841574,0.45100962844853637,0.24784856401539276,-0.3063285034776859,-0.006250605018426367,-0.014368794561067804,0.002157288308937441,1.4402324902779924,1.0799999999999998
0.704,-2.1574486368371453,-0.45106837315099135,2.1574486368371453,0.45106837315099135,0.24772016426794197,-0.30666463851321835,-0.006592136441636631,-0.015047604094742229,0.002260081676814376,1.4402324902779924,1.0799999999999998
0.712,-2.147970670883033,-0.45113023727199586,2.147970670883033,0.45113023727199586,0.24758476545408623,-0.30701660697181865,-0.006950634319766394,-0.015754373308277964,0.0023671010100714696,1.440232490277992,1.0799999999999996
0.72,-2.1384986215065225,-0.4511953710431092,2.1384986215065225,0.4511953710431092,0.24744202079343572,-0.3073850585807454,-0.0073268483895371946,-0.016490037167652308,0.0024784776977300423,1.4402324902779922,1.0799999999999996
0.728,-2.12903274048469,-0.4512639310497048,2.12903274048469,0.4512639310497048,0.24729156823185078,-0.3077706646553846,-0.007721556417452807,-0.01725554960881338,0.002594344403626205,1.440232490277992,1.0799999999999996
0.736,-2.119573288384421,-0.45133608044698953,2.119573288384421,0.45133608044698953,0.2471330298731327,-0.3081741185285416,-0.008135564972062444,-0.018051883149869403,0.002714834854705504,1.4402324902779926,1.0799999999999996
0.744,-2.1101205347578254,-0.4514119891801215,2.1101205347578254,0.4514119891801215,0.2469660113952186,-0.30859613597010804,-0.008569710201114418,-0.018880028436162977,0.0028400836092811947,1.4402324902779917,1.0799999999999998
0.752,-2.100674758335108,-0.4514918342082773,2.100674758335108,0.4514918342082773,0.24679010145079475,-0.3090374555955261,-0.009024858612261384,-0.019740993714175738,0.0029702258043535126,1.440232490277992,1.0799999999999996
0.76,-2.091236247214322,-0.45157579973249823,2.091236247214322,0.45157579973249823,0.24660487105227327,-0.309498839261374,-0.009501907855835446,-0.020635804230079203,0.003105396881096094,1.4402324902779917,1.0799999999999996
0.768,-2.0818052990474127,-0.4516640774271199,2.0818052990474127,0.4516640774271199,0.24640987294110547,-0.30998107244630185,-0.010001787508057969,-0.02156550154862398,0.0032457322876292935,1.4402324902779917,1.0799999999999996
0.776,-2.0723822212219236,-0.451756866674569,2.0723822212219236,0.451756866674569,0.2462046409414418,-0.31048496461544756,-0.010525459852881775,-0.022531142787937036,0.003391367158221235,1.4402324902779917,1.0799999999999996
0.784,-2.062967331037713,-0.4518543748032814,2.062967331037713,0.4518543748032814,0.24598868929818504,-0.3110113495663571,-0.011073920660485738,-0.023533799765683223,0.0035424359680847365,1.440232490277992,1.0799999999999994
0.792,-2.0535609558779786,-0.45195681732847137,2.0535609558779786,0.45195681732847137,0.24576151199952478,-0.3115610857543323,-0.011648199960248854,-0.024574558051938415,0.0036990721629737654,1.4402324902779917,1.0799999999999998
0.8,-2.044163433373889,-0.452064418195451,2.044163433373889,0.452064418195451,0.24552258208408753,-0.3121350565950179,-0.012249362805824409,-0.025654515924021747,0.003861407762826664,1.4402324902779915,1.0799999999999996
0.808,-2.0347751115620465,-0.45217741002517037,2.0347751115620465,0.45217741002517037,0.2452713509328857,-0.3127341707419329,-0.012878510029713719,-0.026774783218444884,0.004029572938756113,1.4402324902779917,1.0799999999999996
0.8160000000000001,-2.0253963490340214,-0.45229603436161525,2.0253963490340214,0.45229603436161525,0.24500724754630349,-0.3133593623365384,-0.013536778984501448,-0.027936480075057855,0.004203695562748185,1.4402324902779917,1.0799999999999996
0.8240000000000001,-2.01602751507713,-0.45242054192066755,2.01602751507713,0.45242054192066755,0.2447296778064171,-0.31401159122832006,-0.014225344267661179,-0.029140735568405997,0.004383900729505502,1.4402324902779917,1.0799999999999998
0.8320000000000001,-2.006668989805618,-0.4525511928399969,2.006668989805618,0.4525511928399969,0.2444380237250109,-0.3146918431622512,-0.014945418426569063,-0.0303886862212637,0.0045703102499538234,1.4402324902779917,1.0799999999999994
0.84,-1.9973211642813797,-0.4526882569295168,1.9973211642813797,0.4526882569295168,0.24413164267772133,-0.3154011299308838,-0.015698252640074815,-0.031681474395278575,0.004763042116026332,1.4402324902779915,1.0799999999999996
0.848,-1.9879844406233163,-0.45283201392189787,1.9879844406233163,0.45283201392189787,0.2438098666248167,-0.3161404894882025,-0.016485137372673195,-0.033020246553649706,0.004962209936448696,1.4402324902779915,1.0799999999999996
0.856,-1.9786592321043976,-0.4529827537225939,1.9786592321043976,0.4529827537225939,0.2434720013192027,-0.3169109860222565,-0.017307402996992367,-0.03440615139077412,0.005167922343369147,1.4402324902779913,1.0799999999999994
0.864,-1.9693459632354917,-0.45314077665879143,1.9693459632354917,0.45314077665879143,0.24311732550233364,-0.3177137099834732,-0.018166420379971862,-0.035840337823834965,0.00538028236981241,1.4402324902779913,1.0799999999999994
0.872,-1.9600450698349796,-0.4533063937266524,1.9600450698349796,0.4533063937266524,0.24274509008880388,-0.31854977806543977,-0.019063601427737553,-0.037323952841370786,0.005599386798086598,1.4402324902779913,1.0799999999999998
0.88,-1.9507569990831648,-0.4534799268361733,1.9507569990831648,0.4534799268361733,0.24235451734049998,-0.31942033313482804,-0.02000039958379696,-0.03885813920396543,0.005825325479435876,1.4402324902779913,1.0799999999999994
0.888,-1.9414822095604678,-0.453661709052938,1.9414822095604678,0.453661709052938,0.2419448000313032,-0.32032654410702877,-0.020978310274774394,-0.04044403299233328,0.006058180625412039,1.440232490277992,1.0799999999999996
0.896,-1.9322211712683717,-0.4538520848359933,1.9322211712683717,0.4538520848359933,0.2415151006034531,-0.32126960576395475,-0.02199887129748153,-0.04208276099825091,0.006298026071633929,1.440232490277992,1.0799999999999998
0.904,-1.9229743656320852,-0.45405141027102586,1.9229743656320852,0.45405141027102586,0.24106455031681195,-0.32225073851036995,-0.023063663140675924,-0.04377543795400592,0.006544926514815183,1.4402324902779922,1.0799999999999996
