case_id,speed,phase,phase_over_pi,impact_parameter,event_class,topology_sequence,minimum_component_count,maximum_component_count,final_component_count,activity_duration,activity_impulse,equivalent_time,peak_activity,peak_time
51,0.75,0.5235987755982988,0.16666666666666666,0.8,persistent_fusion_candidate,2-1,1,2,1,6.079999999999999,59.539912065214274,5.173887872745921,11.507770081150761,10.88
52,0.75,1.0471975511965976,0.3333333333333333,0.8,persistent_fusion_candidate,2-1-2-1-2-1-2-1,1,2,1,6.239999999999999,43.96058031626971,4.721352968824755,9.311013306258362,11.52
53,0.75,1.5707963267948966,0.5,0.8,fusion_fission_scattering,2-1-2,1,2,2,6.4,32.63110752922993,3.6902124833597294,8.84260938262318,12.0
54,0.75,2.0943951023931953,0.6666666666666666,0.8,fusion_fission_scattering,2-1-2,1,2,2,6.5600000000000005,28.0189331388455,3.142003620232625,8.917536873102348,12.0
55,0.75,2.6179938779914944,0.8333333333333334,0.8,fusion_fission_scattering,2-1-2,1,2,2,7.36,30.012677690503374,3.3285710831337436,9.016685220448228,12.0
56,0.75,3.141592653589793,1.0,0.8,two_component_scattering,2,2,2,2,7.36,31.67092537018549,3.466690976174562,9.135779793425328,12.0
57,0.95,0.0,0.0,0.8,fusion_fission_scattering,2-1-2,1,2,2,6.88,119.54334392047444,5.878989429981848,20.33399538206748,12.0
58,0.95,0.5235987755982988,0.16666666666666666,0.8,persistent_fusion_candidate,2-1,1,2,1,6.88,111.40155785950415,5.922419497590529,18.81014303441805,12.0
59,0.95,1.0471975511965976,0.3333333333333333,0.8,fusion_fission_scattering,2-1-2-1-2-1-2-1-2-1-2-1-2,1,2,2,7.039999999999999,94.82752712413483,5.917614216998329,16.0246213502298,12.0
60,0.95,1.5707963267948966,0.5,0.8,fusion_fission_scattering,2-1-2,1,2,2,7.039999999999999,79.1881895437444,5.6650313305535045,13.978420404606533,12.0
61,0.95,2.0943951023931953,0.6666666666666666,0.8,fusion_fission_scattering,2-1-2,1,2,2,7.52,60.87203770038686,4.869124862772097,12.501638264772515,12.0
62,0.95,2.6179938779914944,0.8333333333333334,0.8,fusion_fission_scattering,2-1-2,1,2,2,7.84,61.033451090152326,5.047854855445486,12.090967913689342,12.0
63,0.95,3.141592653589793,1.0,0.8,two_component_scattering,2,2,2,2,7.68,54.59763525646776,4.722932528373062,11.560113325454461,12.0
64,1.15,0.0,0.0,0.8,fusion_fission_scattering,2-1-2,1,2,2,7.68,186.9268760766784,6.48771997285413,28.812414354937708,12.0
65,1.15,0.5235987755982988,0.16666666666666666,0.8,fusion_fission_scattering,2-1-2-1-2,1,2,2,7.68,179.98697205215848,6.551598399133057,27.472222973248076,12.0
66,1.15,1.0471975511965976,0.3333333333333333,0.8,fusion_fission_scattering,2-1-2-1-2-1-2-1-2-3-2-3-2,1,3,2,7.68,163.24154739909193,6.665501392854496,24.4905128328514,12.0
67,1.15,1.5707963267948966,0.5,0.8,fragmentation,2-1-2-3,1,3,3,7.68,140.92422940286903,6.722594378250398,20.962774410248674,12.0
68,1.15,2.0943951023931953,0.6666666666666666,0.8,fragmentation,2-1-2-3,1,3,3,7.84,110.38364513940967,6.491268179481324,17.004942961427567,12.0
69,1.15,2.6179938779914944,0.8333333333333334,0.8,fragmentation,2-1-2-3,1,3,3,8.16,119.62585753475916,7.005504371337256,17.07598071370901,7.68
70,1.15,3.141592653589793,1.0,0.8,fragmentation,2-4,2,4,4,8.32,108.01081897142605,6.752304519275324,15.996141563683219,7.84
71,0.35,0.0,0.0,1.6,persistent_fusion_candidate,2-1,1,2,1,5.12,4.801709331922027,2.113966371296093,2.2714218149922853,12.0
72,0.35,0.5235987755982988,0.16666666666666666,1.6,persistent_fusion_candidate,2-1,1,2,1,5.4399999999999995,3.688798316351197,2.533078537414174,1.4562510644130318,12.0
73,0.35,1.0471975511965976,0.3333333333333333,1.6,persistent_fusion_candidate,2-1,1,2,1,5.12,1.967647185688679,1.945861724794206,1.0111957908503375,12.0
74,0.35,1.5707963267948966,0.5,1.6,persistent_fusion_candidate,2-1,1,2,1,2.7200000000000006,2.67523631743524,1.3963129545447064,1.9159288816507112,12.0
75,0.35,2.0943951023931953,0.6666666666666666,1.6,two_component_scattering,2,2,2,2,3.84,4.920291918990171,1.8339503062933626,2.6828927163979057,12.0
76,0.35,2.6179938779914944,0.8333333333333334,1.6,two_component_scattering,2,2,2,2,4.32,6.36908847044495,2.0456341027117073,3.1135032711871786,12.0
77,0.35,3.141592653589793,1.0,1.6,two_component_scattering,2,2,2,2,4.4799999999999995,6.867180321448464,2.111881598056222,3.2516881286190586,12.0
78,0.55,0.0,0.0,1.6,persistent_fusion_candidate,2-1,1,2,1,4.96,22.91429268684413,3.553105669077839,6.449088437268805,9.76
79,0.55,0.5235987755982988,0.16666666666666666,1.6,persistent_fusion_candidate,2-1,1,2,1,5.12,17.586089737912314,3.5145796427095344,5.0037533718696645,9.92
80,0.55,1.0471975511965976,0.3333333333333333,1.6,persistent_fusion_candidate,2-1,1,2,1,5.12,8.995477666183909,2.4044627705280193,3.741159054922071,12.0
81,0.55,1.5707963267948966,0.5,1.6,fusion_fission_scattering,2-1-2,1,2,2,5.28,13.501020512766482,2.35355731774061,5.736431575725259,12.0
82,0.55,2.0943951023931953,0.6666666666666666,1.6,fusion_fission_scattering,2-1-2,1,2,2,5.6,21.639173132926064,2.8438104051961424,7.609217932878888,12.0
83,0.55,2.6179938779914944,0.8333333333333334,1.6,two_component_scattering,2,2,2,2,5.76,26.300507800680144,3.0181157594532726,8.714214396284271,12.0
84,0.55,3.141592653589793,1.0,1.6,two_component_scattering,2,2,2,2,5.76,27.7936258909665,3.0484697818566335,9.117238444147912,12.0
85,0.75,0.0,0.0,1.6,persistent_fusion_candidate,2-1,1,2,1,6.56,50.946747741752596,5.111286967075982,9.967499001704017,12.0
86,0.75,0.5235987755982988,0.16666666666666666,1.6,persistent_fusion_candidate,2-1,1,2,1,6.72,45.06955891133653,4.839365088750978,9.313114031445975,12.0
87,0.75,1.0471975511965976,0.3333333333333333,1.6,persistent_fusion_candidate,2-1-2-1-2-1,1,2,1,6.72,35.65277443480194,3.762417054765751,9.476029349176361,12.0
88,0.75,1.5707963267948966,0.5,1.6,fusion_fission_scattering,2-1-2,1,2,2,5.76,34.15979805826874,2.9693886790332833,11.503983395460992,12.0
89,0.75,2.0943951023931953,0.6666666666666666,1.6,fusion_fission_scattering,2-1-2,1,2,2,6.4,40.654751108771954,3.016006247913958,13.479664087861588,12.0
90,0.75,2.6179938779914944,0.8333333333333334,1.6,fusion_fission_scattering,2-1-2,1,2,2,6.72,46.489745777654456,3.1648809851261834,14.689255613762334,12.0
91,0.75,3.141592653589793,1.0,1.6,two_component_scattering,2,2,2,2,6.72,49.254859146958914,3.249178209633262,15.159174403215747,12.0
92,0.95,0.0,0.0,1.6,persistent_fusion_candidate,2-1,1,2,1,7.52,93.55084672840394,5.400680575683207,17.322047734061627,12.0
93,0.95,0.5235987755982988,0.16666666666666666,1.6,persistent_fusion_candidate,2-1,1,2,1,7.52,87.99793585061857,5.402777783520902,16.287535667119695,12.0
94,0.95,1.0471975511965976,0.3333333333333333,1.6,fusion_fission_scattering,2-1-2,1,2,2,7.359999999999999,74.58932383101278,5.163194322640291,14.446352232753114,12.0
95,0.95,1.5707963267948966,0.5,1.6,fusion_fission_scattering,2-1-2,1,2,2,7.199999999999999,67.0339085715736,4.784497633974385,14.010647240280878,12.0
96,0.95,2.0943951023931953,0.6666666666666666,1.6,fusion_fission_scattering,2-1-2,1,2,2,6.879999999999999,61.25130062747713,4.277629835520671,14.318981067238989,12.0
97,0.95,2.6179938779914944,0.8333333333333334,1.6,fusion_fission_scattering,2-1-2,1,2,2,6.879999999999999,64.54076221566616,4.388182543663091,14.707857199074025,12.0
98,0.95,3.141592653589793,1.0,1.6,fusion_fission_scattering,2-1-2,1,2,2,6.72,66.54730934712133,4.358955331542039,15.266802315127032,12.0
99,1.15,0.0,0.0,1.6,fusion_fission_scattering,2-1-2,1,2,2,7.52,152.59644957107773,5.99828566191069,25.44001039164743,12.0
100,1.15,0.5235987755982988,0.16666666666666666,1.6,fragmentation,2-1-2-3,1,3,3,7.68,143.38824285452154,6.126980294186784,23.40275893992459,12.0
101,1.15,1.0471975511965976,0.3333333333333333,1.6,fragmentation,2-1-2-3,1,3,3,7.52,129.05094835122713,6.257251277838861,20.624223420319304,12.0
102,1.15,1.5707963267948966,0.5,1.6,fragmentation,2-1-2-3,1,3,3,7.52,113.08045573453445,6.376402316420166,17.73420968801416,11.84
103,1.15,2.0943951023931953,0.6666666666666666,1.6,fusion_fission_scattering,2-1-2,1,2,2,7.84,90.91220848940104,6.087066101587641,14.935308237524994,12.0
104,1.15,2.6179938779914944,0.8333333333333334,1.6,fusion_fission_scattering,2-1-2,1,2,2,8.16,95.64420504090208,6.528859585536009,14.649450457288376,12.0
105,1.15,3.141592653589793,1.0,1.6,fusion_fission_scattering,2-1-2,1,2,2,8.0,97.57483143108502,6.257821213324983,15.592460715131288,12.0
