time,component_count,norm,hamiltonian,momentum_x,momentum_y,angular_momentum,peak_density
6.9,1,29.80240454902191,-0.7911021150852383,-0.00015800719157219078,-2.2240327635092427e-09,2.1325603262109527e-05,1.9762625207823592
7.0,1,29.802404549022,-0.7911006032481617,-0.00010510342294278729,-1.9250517846458592e-09,6.289114222457481e-06,1.952069475332975
7.1000000000000005,1,29.802404549022082,-0.7910992814952795,-7.927981319149442e-05,-1.2739045929244242e-09,-1.7843368702377682e-05,1.9275598950117026
7.2,2,29.802404549022164,-0.7910977295326145,-7.378766341690677e-05,-5.097089417205325e-10,-4.71299898798655e-05,1.8996824337256915
7.3,2,29.802404549022256,-0.7910963286092211,-7.461043788848038e-05,-2.470509907759322e-10,-7.499480195877206e-05,1.8708997730115444
7.4,2,29.80240454902233,-0.7910952760989031,-7.331358633709496e-05,-2.7468374796946193e-10,-9.384466054009055e-05,1.84381624643944
7.5,2,29.802404549022416,-0.7910940145247668,-6.870059313201344e-05,-2.5212262833029797e-10,-9.578396966899994e-05,1.8154299998676209
7.6000000000000005,2,29.802404549022494,-0.7910927206185701,-6.409882973079173e-05,-1.6175671913032375e-10,-7.69327850820567e-05,1.7850156667573034
7.7,2,29.802404549022565,-0.7910917821091722,-6.064447501312551e-05,-1.1602663274601355e-10,-3.7584586508321305e-05,1.7555004973667527
7.8,2,29.802404549022654,-0.7910908678668322,-5.7700537925539554e-05,-1.1844136782457326e-10,1.917623771163779e-05,1.7271463754516212
7.9,2,29.802404549022725,-0.7910898729253333,-5.534941792831403e-05,-1.1180084635853405e-10,7.899414431328244e-05,1.6974080887531746
8.0,2,29.8024045490228,-0.7910891182975943,-5.3851306990650724e-05,-6.750919268050382e-11,0.00013799303430761523,1.666738961988417
8.1,2,29.802404549022874,-0.7910885792738702,-5.273326884984442e-05,-2.0290019664415126e-11,0.0001788543002395615,1.6361838005667104
8.2,2,29.802404549022953,-0.7910879821633354,-5.1762115146585636e-05,-9.760248165235907e-12,0.00019437444811476468,1.6047028794192728
8.3,2,29.802404549023038,-0.7910873668585526,-5.136976627231654e-05,-1.236441504737229e-11,0.00019530145334359372,1.5729199559792724
8.4,2,29.802404549023116,-0.7910868530134347,-5.1547947899648245e-05,-1.0120376758848693e-11,0.0001595959778395717,1.5436843545887398
8.5,2,29.802404549023198,-0.7910864159200663,-5.184480201655332e-05,-5.796058077933708e-12,0.0001184306291250603,1.5167201073509893
8.6,2,29.80240454902327,-0.7910860149412372,-5.2070040661637056e-05,-3.4340585930436873e-12,7.836907706948448e-05,1.4856796761321838
8.700000000000001,2,29.802404549023354,-0.791085742645058,-5.2240363714033285e-05,-2.052524816775758e-12,2.1224200137670568e-05,1.4495447350106283
8.8,2,29.802404549023432,-0.7910855573215707,-5.230255203701273e-05,-1.7409684804903236e-12,-4.70615036107791e-06,1.4133250659127112
8.9,2,29.80240454902351,-0.7910853155419721,-5.224131051778658e-05,-2.253058850598677e-12,-1.1675221111423495e-05,1.3806188683115628
9.0,2,29.802404549023585,-0.7910850434065219,-5.2183399133640335e-05,-3.8968828164342995e-12,-3.413870008836528e-05,1.350239809661938
9.1,2,29.802404549023663,-0.7910848484152639,-5.21480859819103e-05,-4.31044089310717e-12,-3.2864598078358176e-05,1.3235815209180228
9.200000000000001,2,29.80240454902375,-0.7910847644598732,-5.211436435657553e-05,-2.6652291484907664e-12,-1.532505393003758e-05,1.2994648650077432
9.3,2,29.80240454902384,-0.7910846587113928,-5.2119424813511835e-05,-1.664640647547344e-12,-2.1180127089681644e-05,1.2753821519042816
9.4,2,29.80240454902392,-0.791084505318734,-5.215852031893644e-05,-1.579986141919676e-12,-2.862082961185841e-05,1.2540259430738248
9.5,2,29.802404549023997,-0.7910843875522582,-5.2179299152191154e-05,-1.8020307468447072e-12,-1.8055187451376797e-05,1.235346455261093
9.6,2,29.802404549024082,-0.7910843282551322,-5.2179785188359064e-05,-1.6528445279107018e-12,-1.7951926939430152e-05,1.2157384295695501
9.700000000000001,2,29.802404549024164,-0.7910843472537535,-5.217296308571064e-05,-1.5980272660698347e-12,-4.484682080141411e-05,1.1929068809878418
9.8,2,29.802404549024246,-0.7910843186271332,-5.216318050948587e-05,-2.401898124837487e-12,-8.510974031442076e-05,1.176481506221341
9.9,2,29.80240454902433,-0.7910841927921284,-5.2154307844925335e-05,-2.0046464488387983e-12,-0.0001173509567652109,1.1663030531176053
10.0,2,29.80240454902442,-0.791084165262392,-5.215094039589738e-05,-2.4695523404005826e-12,-0.00013265071523230199,1.1550952823974905
10.1,2,29.80240454902451,-0.7910842187290175,-5.2151513989218655e-05,-2.8841512511590395e-12,-0.0001554606167304684,1.14488446190698
10.200000000000001,2,29.80240454902459,-0.7910842168271336,-5.2148812039768885e-05,-3.2182589926321725e-12,-0.0001965197078249159,1.1362480993371729
10.3,2,29.802404549024686,-0.791084204347817,-5.214900012729187e-05,-2.627412176714472e-12,-0.0002143532538453896,1.1283978679851836
10.4,2,29.802404549024764,-0.7910842254960397,-5.2150581667572554e-05,-2.3189783426857957e-12,-0.00019050670957143634,1.1198383847138247
10.5,2,29.802404549024853,-0.791084324997984,-5.2151411777988724e-05,-3.0721952759549254e-12,-0.00019291581853028705,1.1103897559870013
10.6,2,29.802404549024946,-0.7910845386885749,-5.2151900018903435e-05,-4.745162596186958e-12,-0.0002941603698070061,1.1080213270060741
10.700000000000001,2,29.80240454902502,-0.7910846477979158,-5.2151488136482904e-05,-7.729580864257457e-12,-0.0004587714969365303,1.1076791031339928
10.8,2,29.80240454902511,-0.7910845317140311,-5.215309179643947e-05,-9.0951551845464e-12,-0.0005978588086662934,1.1145068536912748
10.9,2,29.802404549025184,-0.7910844269776921,-5.2153829947819766e-05,-9.837269887569278e-12,-0.000709736195049146,1.1264371403336801
11.0,2,29.80240454902527,-0.7910845033770431,-5.2154839629394226e-05,-9.689471447416054e-12,-0.0008710075831856734,1.1331846069665952
11.1,2,29.80240454902536,-0.7910846479672727,-5.215747624657749e-05,-1.2980935770734447e-11,-0.0010820513993640979,1.1305644456481292
11.200000000000001,2,29.80240454902544,-0.7910848731129836,-5.2157798396826674e-05,-1.3239756513350187e-11,-0.0012234194654948266,1.1224829112471577
